"ser","subject","description"
"7","link2",
"7","link1",
"7","rating",
"7","jcode",
"7","citOthers",
"7","cites","NULL"
"7","myres",
"8","serial","8"
"8","doctype","Paper"
"8","year","2002"
"8","area",
"8","title",
"8","citaIEEE","L. Jing, ""Data mining and knowledge management in higher education,"" in Proc. Workshop Associate of Institutional Research International Conference, Toronto, pp. 1-18, 2002."
"8","link2",
"8","link1",
"8","rating",
"8","jcode",
"8","citOthers",
"8","cites","NULL"
"8","myres",
"9","serial","9"
"9","doctype","Paper"
"9","year","2002"
"9","area",
"9","title",
"9","citaIEEE","O. R. Zaiane, ""Building a recommender agent for e-learning systems,"" in Computers in Education, 2002. Proceedings. International Conference on, 2002, pp. 55-59."
"9","link2",
"9","link1",
"9","rating",
"9","jcode",
"9","citOthers",
"9","cites","NULL"
"9","myres",
"10","serial","10"
"10","doctype","Paper"
"10","year","2003"
"10","area",
"10","title",
"10","citaIEEE","R. S. Baker, A. T. Corbett, and A. Z. Wagner, ""Off-task behavior in the cognitive tutor classroom: when students game the system,"" in Proceedings of the SIGCHI conference on Human factors in computing systems, 2004, pp. 383-390."
"10","link2",
"10","link1",
"10","rating",
"10","jcode",
"10","citOthers",
"10","cites","NULL"
"10","myres",
"11","serial","11"
"11","doctype","Paper"
"11","year","2003"
"11","area",
"11","title",
"11","citaIEEE","P. Brusilovsky and C. Peylo, ""Adaptive and intelligent web-based educational systems,"" International Journal of Artificial Intelligence in Education, vol. 13, pp. 159-172, 2003."
"11","link2",
"11","link1",
"11","rating",
"11","jcode",
"11","citOthers",
"11","cites","NULL"
"11","myres",
"12","serial","12"
"12","doctype","Paper"
"12","year","2004"
"12","area",
"12","title",
"12","citaIEEE","W. Hämäläinen et al. (2004). Data mining in personalizing distance education courses. World Conference on Open Learning and Distance Education. [Online]. 16. Available: http://www.cs.helsinki.fi/u/whamalai/articles/viscosproj.pdf"
"12","link2",
"12","link1",
"12","rating",
"12","jcode",
"12","citOthers",
"12","cites","NULL"
"12","myres",
"13","serial","13"
"13","doctype","Paper"
"13","year","2004"
"13","area",
"13","title",
"13","citaIEEE","J. Luan, ""Data mining applications in higher education,"" SPSS Executive, vol. 7, 2004."
"13","link2",
"13","link1",
"13","rating",
"13","jcode",
"13","citOthers",
"13","cites","NULL"
"13","myres",
"14","serial","14"
"14","doctype","Paper"
"14","year","2004"
"14","area",
"14","title",
"14","citaIEEE","A. Salazar, J. Gosalbez, I. Bosch, R. Miralles, and L. Vergara, ""A case study of knowledge discovery on academic achievement, student desertion and student retention,"" presented at the Information Technology: Research and Education, 2004. ITRE 2004. 2nd International Conference on, 2004."
"14","link2",
"14","link1",
"14","rating",
"14","jcode",
"14","citOthers",
"14","cites","NULL"
"14","myres",
"15","serial","15"
"15","doctype","Paper"
"15","year","2005"
"15","area",
"15","title",
"15","citaIEEE","M. E. Zorrilla, E. Menasalvas, D. Marin, E. Mora, and J. Segovia, ""Web usage mining project for improving web-based learning sites,"" in Computer Aided Systems Theory–EUROCAST 2005, ed: Springer, 2005, pp. 205-210."
"15","link2",
"15","link1",
"15","rating",
"15","jcode",
"15","citOthers",
"15","cites","NULL"
"15","myres",
"16","serial","16"
"16","doctype","Paper"
"16","year","2006"
"16","area",
"16","title",
"16","citaIEEE","C. Manikandan, A. S. Meenakshi Sundaram, and M. Mahesh Babu, ""Collaborative E-Learning for Remote Education; An Approach For Realizing Pervasive Learning Environments,"" presented at the Information and Automation, 2006. ICIA 2006. International Conference on, 2006."
"16","link2",
"16","link1",
"16","rating",
"16","jcode",
"16","citOthers",
"16","cites","NULL"
"16","myres",
"17","serial","17"
"17","doctype","Paper"
"17","year","2006"
"17","area",
"17","title",
"17","citaIEEE","C. Li and J. Yoo, ""Modeling Student Online Learning Using Clustering,"" in Proceedings of the 44th annual Southeast regional conference, 2006."
"17","link2",
"17","link1",
"17","rating",
"17","jcode",
"17","citOthers",
"17","cites","NULL"
"17","myres",
"18","serial","18"
"18","doctype","Paper"
"18","year","2007"
"18","area",
"18","title","A comparative analysis of techniques for predicting academic performance"
"18","citaIEEE","Nguyen Thai Nghe, P. Janecek and P. Haddawy, ""A comparative analysis of techniques for predicting academic performance,"" 2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports, Milwaukee, WI, 2007, pp. T2G-7-T2G-12."
"18","link2",
"18","link1","http://ieeexplore.ieee.org/document/4417993/"
"18","rating",
"18","jcode",
"18","citOthers",
"18","cites","NULL"
"18","myres","x"
"19","serial","19"
"19","doctype","Paper"
"19","year","2007"
"19","area",
"19","title","Educational Data Mining: a Survey from 1995 to 2005. In: Expert Systems with Applications,"
"19","citaIEEE","Romero, C.; Ventura, S.: Educational Data Mining: a Survey from 1995 to 2005. In: Expert Systems with Applications, 33(1), 2007, pp. 135-146."
"19","link2",
"19","link1","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.463.4774&rep=rep1&type=pdf"
"19","rating",
"19","jcode",
"19","citOthers",
"19","cites","NULL"
"19","myres","x"
"20","serial","20"
"20","doctype","Paper"
"20","year","2007"
"20","area",
"20","title",
"20","citaIEEE","J. Huang, A. Zhu, and Q. Luo, ""Personality mining method in web based education system using data mining,"" in Proc. 2007 IEEE International Conference on Grey Systems and Intelligent Services, pp. 155-158, 2007."
"20","link2",
"20","link1",
"20","rating",
"20","jcode",
"20","citOthers",
"20","cites","NULL"
"20","myres",
"21","serial","21"
"21","doctype","Paper"
"21","year","2007"
"21","area",
"21","title",
"21","citaIEEE","M. Vranic, D. Pintar, and Z. Skocir, ""The use of data mining in education environment,"" in Proc. 2007 9th International Conference on Telecommunications, pp. 243-250, 2007."
"21","link2",
"21","link1",
"21","rating",
"21","jcode",
"21","citOthers",
"21","cites","NULL"
"21","myres",
"22","serial","22"
"22","doctype","Paper"
"22","year","2007"
"22","area",
"22","title",
"22","citaIEEE","X. Wu, V. Kumar, J. R. Quinlan , J. Ghosh, Q. Yang, and H. Motoda, Top 10 Algorithms in Data Mining, Springer-Verlag London Limited, 2007."
"22","link2",
"22","link1",
"22","rating",
"22","jcode",
"22","citOthers",
"22","cites","NULL"
"22","myres",
"23","serial","23"
"23","doctype","Paper"
"23","year","2007"
"23","area",
"23","title",
"23","citaIEEE","J. Ranjan and K. Malik, ""Effective educational process: a data-mining approach,"" Vine, vol. 37, pp. 502-515, 2007."
"23","link2",
"23","link1",
"23","rating",
"23","jcode",
"23","citOthers",
"23","cites","NULL"
"23","myres",
"24","serial","24"
"24","doctype","Paper"
"24","year","2007"
"24","area",
"24","title",
"24","citaIEEE","J. Vandamme, -P.,Meskens, N., Superby, F.-, J, ""Predicting Academic Performance by Data Mining Methods,"" Education Economics, vol. 15, pp. 405-419, 2007."
"24","link2",
"24","link1",
"24","rating",
"24","jcode",
"24","citOthers",
"24","cites","NULL"
"24","myres",
"25","serial","25"
"25","doctype","Paper"
"25","year","2007"
"25","area",
"25","title",
"25","citaIEEE","J. P. Campbell, P. B. DeBlois, and D. G. Oblinger, ""Academic analytics: A new tool for a new era,"" Educause Review, vol. 42, p. 40, 2007."
"25","link2",
"25","link1",
"25","rating",
"25","jcode",
"25","citOthers",
"25","cites","NULL"
"25","myres",
"26","serial","26"
"26","doctype","Paper"
"26","year","2007"
"26","area",
"26","title",
"26","citaIEEE","C. Romero and S. Ventura, ""Educational data mining: A survey from 1995 to 2005,"" Expert Systems with Applications, vol. 33, pp. 135-146, 7/ 2007."
"26","link2",
"26","link1",
"26","rating",
"26","jcode",
"26","citOthers",
"26","cites","NULL"
"26","myres",
"27","serial","27"
"27","doctype","Paper"
"27","year","2007"
"27","area",
"27","title",
"27","citaIEEE","Q. Zheng, J. Ding, J. Du, and F. Tian, ""Assessing Method for E-Learner Clustering,"" presented at the Computer Supported Cooperative Work in Design, 2007. CSCWD 2007. 11th International Conference on, 2007."
"27","link2",
"27","link1",
"27","rating",
"27","jcode",
"27","citOthers",
"27","cites","NULL"
"27","myres",
"28","serial","28"
"28","doctype","Paper"
"28","year","2007"
"28","area",
"28","title",
"28","citaIEEE","C. M. Chen, Y. Y. Chen, and C. Y. Liu, ""Learning Performance Assessment Approach Using Web-Based Learning Portfolios for E-learning Systems,"" Systems, Man, and Cybernetics, Part C: Applications and Reviews, IEEE Transactions on, vol. 37, pp. 1349-1359, 2007."
"28","link2",
"28","link1",
"28","rating",
"28","jcode",
"28","citOthers",
"28","cites","NULL"
"28","myres",
"29","serial","29"
"29","doctype","Paper"
"29","year","2007"
"29","area",
"29","title",
"29","citaIEEE","C. M. Chen, C. Y. Li, T. Y. Chan, B. S. Jong, and T. W. Lin, ""Diagnosis of students&rsquo; online learning portfolios,"" in Frontiers In Education Conference-Global Engineering: Knowledge Without Borders, Opportunities Without Passports, 2007. FIE'07. 37th Annual, 2007, pp. T3D-17-T3D-22."
"29","link2",
"29","link1",
"29","rating",
"29","jcode",
"29","citOthers",
"29","cites","NULL"
"29","myres",
"30","serial","30"
"30","doctype","Paper"
"30","year","2008"
"30","area",
"30","title",
"30","citaIEEE","D. L. Olson and D. Delen, Advanced Data Mining Techniques, Springer, 2008, p. 3-8."
"30","link2",
"30","link1",
"30","rating",
"30","jcode",
"30","citOthers",
"30","cites","NULL"
"30","myres",
"31","serial","31"
"31","doctype","Paper"
"31","year","2008"
"31","area",
"31","title",
"31","citaIEEE","S. L. S. Lihua, Z. Y. Z. Yongsheng, and Z. Z. Z. Zhonglei, ""Research on data mining in college education,"" in Proc. 2008 International Conference on Computer Science and Software Engineering, vol. 5, pp. 385-388, 2008."
"31","link2",
"31","link1",
"31","rating",
"31","jcode",
"31","citOthers",
"31","cites","NULL"
"31","myres",
"32","serial","32"
"32","doctype","Paper"
"32","year","2008"
"32","area",
"32","title",
"32","citaIEEE","C. S. C. Song and K. M. K. Ma, ""Applications of data mining in the education resource based on XML,"" in Proc. 2008 International Conference on Advanced Computer Theory and Engineering, pp. 943-946, 2008."
"32","link2",
"32","link1",
"32","rating",
"32","jcode",
"32","citOthers",
"32","cites","NULL"
"32","myres",
"33","serial","33"
"33","doctype","Paper"
"33","year","2008"
"33","area",
"33","title",
"33","citaIEEE","V. P. Bresfelean, ""Data mining applications in higher education and academic intelligence management,"" MPRA (Munich Personal RePEc Archive), No. 21235, pp. 214-226, 2008."
"33","link2",
"33","link1",
"33","rating",
"33","jcode",
"33","citOthers",
"33","cites","NULL"
"33","myres",
"34","serial","34"
"34","doctype","Paper"
"34","year","2008"
"34","area",
"34","title",
"34","citaIEEE","A. Hajra, D. Birant, and A. Kut, ""Improving quality assurance in education with web-based services by data mining and mobile technologies,"" in Proc. the 2008 Euro American Conference on Telematics and Information Systems, pp. 1-7, 2008."
"34","link2",
"34","link1",
"34","rating",
"34","jcode",
"34","citOthers",
"34","cites","NULL"
"34","myres",
"35","serial","35"
"35","doctype","Paper"
"35","year","2008"
"35","area",
"35","title",
"35","citaIEEE","V. P. Bresfelean, M. Bresfelean, N. Ghisoiu, and C. A. Comes, ""Determining students&rsquo; academic failure profile founded on data mining methods,"" presented at the ITI 2008 - 30th International Conference on Information Technology Interfaces, 2008."
"35","link2",
"35","link1",
"35","rating",
"35","jcode",
"35","citOthers",
"35","cites","NULL"
"35","myres",
"36","serial","36"
"36","doctype","Paper"
"36","year","2008"
"36","area",
"36","title",
"36","citaIEEE","P. Dradilova, J. Martinovic, K. Slaninova, and V. Snasel, ""Analysis of Relations in eLearning,"" in Web Intelligence and Intelligent Agent Technology, 2008. WI-IAT '08. IEEE/WIC/ACM International Conference on, 2008, pp. 373-376."
"36","link2",
"36","link1",
"36","rating",
"36","jcode",
"36","citOthers",
"36","cites","NULL"
"36","myres",
"37","serial","37"
"37","doctype","Paper"
"37","year","2008"
"37","area",
"37","title",
"37","citaIEEE","T. Feng, W. Shibin, Z. Cheng, and Z. Qinghua, ""Research on e-learner personality grouping based on fuzzy clustering analysis,"" in Computer Supported Cooperative Work in Design, 2008. CSCWD 2008. 12th"
"37","link2",
"37","link1",
"37","rating",
"37","jcode",
"37","citOthers",
"37","cites","NULL"
"37","myres",
"38","serial","38"
"38","doctype","Paper"
"38","year","2008"
"38","area",
"38","title",
"38","citaIEEE","International Conference on, Xi'an, 2008, pp. 1035-1040."
"38","link2",
"38","link1",
"38","rating",
"38","jcode",
"38","citOthers",
"38","cites","NULL"
"38","myres",
"39","serial","39"
"39","doctype","Paper"
"39","year","2008"
"39","area",
"39","title",
"39","citaIEEE","C. C. Chi, C. H. Kuo, M. Y. Lu, and N. L. Tsao, ""Concept-Based Pages Recommendation by Using Cluster Algorithm,"" presented at the Advanced Learning Technologies, 2008. ICALT '08. Eighth IEEE International Conference on, 2008."
"39","link2",
"39","link1",
"39","rating",
"39","jcode",
"39","citOthers",
"39","cites","NULL"
"39","myres",
"40","serial","40"
"40","doctype","Paper"
"40","year","2009"
"40","area",
"40","title","State of Educational Data Mining in 2009 : A Review of Future Visions"
"40","citaIEEE","Baker, R.S.J.d., Yacef, K. (2009) The State of Educational Data Mining in 2009: A Review and Future Visions. Journal of Educational Data Mining, 1 (1), 3-17."
"40","link2",
"40","link1","http://www.educationaldatamining.org/JEDM/index.php/JEDM/article/view/8"
"40","rating",
"40","jcode",
"40","citOthers",
"40","cites","712"
"40","myres","x"
"41","serial","41"
"41","doctype","Paper"
"41","year","2009"
"41","area",
"41","title",
"41","citaIEEE","Baker, E. (Eds.) International Encyclopedia of Education (3rd edition). Oxford, UK: Elsevier."
"41","link2",
"41","link1","http://www.columbia.edu/~rsb2162/Encyclopedia%20Chapter%20Draft%20v10%20-fw.pdf"
"41","rating",
"41","jcode",
"41","citOthers",
"41","cites","NULL"
"41","myres",
"42","serial","42"
"42","doctype","Paper"
"42","year","2009"
"42","area",
"42","title",
"42","citaIEEE","Q. Z. Q. Zhiming and H. W. H. Wei, ""Application of combined grey neural network and data mining in information technology education,"" in Proc. 2009 Second International Conference on Education Technology and Training, pp. 163-166, 2009."
"42","link2",
"42","link1",
"42","rating",
"42","jcode",
"42","citOthers",
"42","cites","NULL"
"42","myres",
"43","serial","43"
"43","doctype","Paper"
"43","year","2009"
"43","area",
"43","title",
"43","citaIEEE","R. S. Baker and K. Yacef, ""The state of educational data mining in 2009: A review and future visions,"" JEDM-Journal of Educational Data Mining, 2009."
"43","link2",
"43","link1",
"43","rating",
"43","jcode",
"43","citOthers",
"43","cites","NULL"
"43","myres",
"44","serial","44"
"44","doctype","Paper"
"44","year","2009"
"44","area",
"44","title",
"44","citaIEEE","B. Kitchenham, O. Pearl Brereton, D. Budgen, M. Turner, J. Bailey, and S. Linkman, ""Systematic literature reviews in software engineering–a systematic literature review,"" Information and software technology, vol. 51, pp. 7-15, 2009."
"44","link2",
"44","link1",
"44","rating",
"44","jcode",
"44","citOthers",
"44","cites","NULL"
"44","myres",
"45","serial","45"
"45","doctype","Paper"
"45","year","2009"
"45","area",
"45","title","E-learning Behavior Analysis Based on Fuzzy Clustering,"
"45","citaIEEE","C. Jili, H. Kebin, W. Feng, and W. Huixia, ""E-learning Behavior Analysis Based on Fuzzy Clustering,"" in Genetic and Evolutionary Computing, 2009. WGEC '09. 3rd International Conference on, Guilin, 2009, pp. 863-866."
"45","link2",
"45","link1",
"45","rating",
"45","jcode",
"45","citOthers",
"45","cites","NULL"
"45","myres",
"46","serial","46"
"46","doctype","Paper"
"46","year","2009"
"46","area",
"46","title",
"46","citaIEEE","A. R. Anaya and J. G. Boticario, ""Clustering Learners according to their Collaboration,"" presented at the Computer Supported Cooperative Work in Design, 2009. CSCWD 2009. 13th International Conference on, 2009."
"46","link2",
"46","link1",
"46","rating",
"46","jcode",
"46","citOthers",
"46","cites","NULL"
"46","myres",
"47","serial","47"
"47","doctype","Paper"
"47","year","2009"
"47","area",
"47","title",
"47","citaIEEE","Corporation as an example,"" Expert Systems with Applications, vol. 36, pp. 7199-7209, 2009."
"47","link2",
"47","link1",
"47","rating",
"47","jcode",
"47","citOthers",
"47","cites","NULL"
"47","myres",
"48","serial","48"
"48","doctype","Paper"
"48","year","2009"
"48","area",
"48","title",
"48","citaIEEE","M. Wook, Y. H. Yahaya, N. Wahab, M. R. M. Isa, N. F. Awang, and H. Y. Seong, ""Predicting NDUM Student's Academic Performance Using Data Mining Techniques,"" Second International Conference on Computer and Electrical Engineering, Vol 2, Proceedings, pp. 357-361, 2009."
"48","link2",
"48","link1",
"48","rating",
"48","jcode",
"48","citOthers",
"48","cites","NULL"
"48","myres",
"49","serial","49"
"49","doctype","Paper"
"49","year","2009"
"49","area",
"49","title",
"49","citaIEEE","D. Perera, J. Kay, I. Koprinska, K. Yacef, and O. R. Zaiane, ""Clustering and Sequential Pattern Mining of Online Collaborative Learning Data,"" IEEE Transactions on Knowledge and Data Engineering, vol. 21, pp. 759-772, June 2009."
"49","link2",
"49","link1",
"49","rating",
"49","jcode",
"49","citOthers",
"49","cites","NULL"
"49","myres",
"50","serial","50"
"50","doctype","Paper"
"50","year","2010"
"50","area",
"50","title","An Analysis of Student Performance in Hybrid and Traditional Classroom Accounting Courses at Waukesha County Technical College"
"50","citaIEEE",
"50","link2","https://drive.google.com/open?id=0B3SCt9TAto6-NXV4OS1RcEFzMHlONExMazQwWk0xaTBVNUc4"
"50","link1","https://pdfs.semanticscholar.org/f520/ef984afb98e12d9912a7197df6146ba146b4.pdf"
"50","rating",
"50","jcode",
"50","citOthers",
"50","cites","NULL"
"50","myres",
"51","serial","51"
"51","doctype","Paper"
"51","year","2010"
"51","area",
"51","title",
"51","citaIEEE","C. Romero, S. Ventura, M. Pechenizky, and R. Baker, Handbook of Educational Data Mining, DFL: Chapman and Hall/CRC Press, 2010."
"51","link2",
"51","link1",
"51","rating",
"51","jcode",
"51","citOthers",
"51","cites","NULL"
"51","myres",
"52","serial","52"
"52","doctype","Paper"
"52","year","2010"
"52","area",
"52","title",
"52","citaIEEE","C. Romero and S. Ventura, ""Educational data mining: a review of the state of the art,"" Systems, Man, and Cybernetics, Part C: Applications and Reviews, IEEE Transactions on, vol. 40, pp. 601-618, 2010."
"52","link2",
"52","link1",
"52","rating",
"52","jcode",
"52","citOthers",
"52","cites","NULL"
"52","myres",
"53","serial","53"
"53","doctype","Paper"
"53","year","2010"
"53","area",
"53","title",
"53","citaIEEE","M. F. M. Mohsin, N. M. Norwawi, C. F. Hibadullah, and M. H. A. Wahab, ""Mining the student programming performance using rough set,"" presented at the Intelligent Systems and Knowledge Engineering (ISKE), 2010 International Conference on, 2010."
"53","link2",
"53","link1",
"53","rating",
"53","jcode",
"53","citOthers",
"53","cites","NULL"
"53","myres",
"54","serial","54"
"54","doctype","Paper"
"54","year","2010"
"54","area",
"54","title",
"54","citaIEEE","W. C. Chang, T. H. Wang, and M. F. Li, ""Learning Ability Clustering in Collaborative Learning,"" Journal of Software, vol. 5, pp. 1363-1370, 2010."
"54","link2",
"54","link1",
"54","rating",
"54","jcode",
"54","citOthers",
"54","cites","NULL"
"54","myres",
"55","serial","55"
"55","doctype","Paper"
"55","year","2011"
"55","area",
"55","title","An analysis of some factors affecting student academic performance in an introductory biochemistry course at the University of the West Indies"
"55","citaIEEE",
"55","link2","https://drive.google.com/open?id=0B3SCt9TAto6-M0tUUWNGelBKSjduek5ERmI2SGhCTjZORWtj"
"55","link1","http://libraries.sta.uwi.edu/journals/ojs/index.php/cts/article/viewFile/10/7"
"55","rating",
"55","jcode",
"55","citOthers","http://libraries.sta.uwi.edu/journals/ojs/index.php/cts/article/viewFile/10/7"
"55","cites","NULL"
"55","myres",
"56","serial","56"
"56","doctype","Paper"
"56","year","2011"
"56","area",
"56","title","Penetrating the Fog: Analytics in Learning and Education"
"56","citaIEEE","Siemens, G.; Long, P.: Penetrating the Fog: Analytics in Learning and Education. In: EDUCAUSE Review, 46(5), September/October 2011."
"56","link2",
"56","link1","https://net.educause.edu/ir/library/pdf/ERM1151.pdf"
"56","rating",
"56","jcode",
"56","citOthers",
"56","cites","NULL"
"56","myres","x"
"57","serial","57"
"57","doctype","Paper"
"57","year","2011"
"57","area",
"57","title","Data Mining Tools"
"57","citaIEEE",
"57","link2","https://drive.google.com/open?id=0B3SCt9TAto6-TTJsSmpqWnYxU0xtcWx3Um1tRWprZG5VRFlv"
"57","link1",
"57","rating",
"57","jcode",
"57","citOthers",
"57","cites","NULL"
"57","myres",
"58","serial","58"
"58","doctype","Paper"
"58","year","2011"
"58","area",
"58","title","Mining Behaviors from Educational Data"
"58","citaIEEE",
"58","link2","https://fenix.tecnico.ulisboa.pt/downloadFile/395142723120/JoanaBarracosa.Tese.MiningBehavioursFromEducationalData.pdf"
"58","link1",
"58","rating",
"58","jcode",
"58","citOthers",
"58","cites","NULL"
"58","myres",
"59","serial","59"
"59","doctype","Paper"
"59","year","2011"
"59","area",
"59","title","Mining Educational Data to Analyze Students<U+201F> Performance"
"59","citaIEEE",
"59","link2","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.622.7129&rep=rep1&type=pdf"
"59","link1",
"59","rating",
"59","jcode",
"59","citOthers",
"59","cites","NULL"
"59","myres",
"60","serial","60"
"60","doctype","Paper"
"60","year","2011"
"60","area",
"60","title",
"60","citaIEEE","C. H. Weng, ""Mining fuzzy specific rare itemsets for education data,"" Knowledge-Based Systems, vol. 24, no. 5, pp. 697-708, 2011."
"60","link2",
"60","link1",
"60","rating",
"60","jcode",
"60","citOthers",
"60","cites","NULL"
"60","myres",
"61","serial","61"
"61","doctype","Paper"
"61","year","2011"
"61","area",
"61","title",
"61","citaIEEE","S. E. Sorour, ""Correlation of topic model and student grades using comment data mining,"" pp. 441-446, 2011."
"61","link2",
"61","link1",
"61","rating",
"61","jcode",
"61","citOthers",
"61","cites","NULL"
"61","myres",
"62","serial","62"
"62","doctype","Paper"
"62","year","2011"
"62","area",
"62","title",
"62","citaIEEE","(2011, 01 July). International Educational Data Mining Society.Available: http://www.educationaldatamining.org/"
"62","link2",
"62","link1",
"62","rating",
"62","jcode",
"62","citOthers",
"62","cites","NULL"
"62","myres",
"63","serial","63"
"63","doctype","Paper"
"63","year","2011"
"63","area",
"63","title",
"63","citaIEEE","E. García, C. Romero, S. Ventura, and C. de Castro, ""A collaborative educational association rule mining tool,"" The Internet and Higher Education, vol. 14, pp. 77-88, 2011."
"63","link2",
"63","link1",
"63","rating",
"63","jcode",
"63","citOthers",
"63","cites","NULL"
"63","myres",
"64","serial","64"
"64","doctype","Paper"
"64","year","2011"
"64","area",
"64","title",
"64","citaIEEE","Y. H. Wang and H. C. Liao, ""Data mining for adaptive learning in a TESL-based e-learning system,"" Expert Systems with Applications, vol. 38, pp. 6480-6485, 2011."
"64","link2",
"64","link1",
"64","rating",
"64","jcode",
"64","citOthers",
"64","cites","NULL"
"64","myres",
"65","serial","65"
"65","doctype","Paper"
"65","year","2011"
"65","area",
"65","title",
"65","citaIEEE","J. Manyika, M. Chui, B. Brown, and J. Bughin, ""Big data: The next frontier for innovation, competition, and productivity,"" 2011."
"65","link2",
"65","link1",
"65","rating",
"65","jcode",
"65","citOthers",
"65","cites","NULL"
"65","myres",
"66","serial","66"
"66","doctype","Paper"
"66","year","2011"
"66","area",
"66","title",
"66","citaIEEE","N. A. Rashid, M. N. Taib, S. Lias, N. Sulaiman, Z. H. Murat, and R. S. S. A. Kadir, ""Learners&rsquo; Learning Style Classification related to IQ and Stress based on EEG,"" Procedia - Social and Behavioral Sciences, vol. 29, pp. 1061-1070, / 2011."
"66","link2",
"66","link1",
"66","rating",
"66","jcode",
"66","citOthers",
"66","cites","NULL"
"66","myres",
"67","serial","67"
"67","doctype","Paper"
"67","year","2011"
"67","area",
"67","title",
"67","citaIEEE","G. Cobo, D. García-Solórzano, E. Santamaria, J. A. Morán, J. Melenchón, and C. Monzo, ""Modeling Students' Activity in Online Discussion Forums: A Strategy based on Time Series and Agglomerative Hierarchical Clustering,"" in EDM, 2011, pp. 253-258."
"67","link2",
"67","link1",
"67","rating",
"67","jcode",
"67","citOthers",
"67","cites","NULL"
"67","myres",
"68","serial","68"
"68","doctype","Paper"
"68","year","2012"
"68","area",
"68","title","A novel approach for upgrading Indian education by using data mining techniques"
"68","citaIEEE","A. Banumathi and A. Pethalakshmi, ""A novel approach for upgrading Indian education by using data mining techniques,"" 2012 IEEE International Conference on Technology Enhanced Education (ICTEE), Kerala, 2012, pp. 1-5."
"68","link2",
"68","link1","http://ieeexplore.ieee.org/document/6208603/"
"68","rating",
"68","jcode",
"68","citOthers",
"68","cites","5"
"68","myres","x"
"69","serial","69"
"69","doctype","Paper"
"69","year","2012"
"69","area",
"69","title","Introduction to the special section on educational data mining"
"69","citaIEEE","Toon Calders and Mykola Pechenizkiy. 2012. Introduction to the special section on educational data mining. SIGKDD Explor. Newsl. 13, 2 (May 2012), 3-6."
"69","link2",
"69","link1","http://dl.acm.org/citation.cfm?id=2207245"
"69","rating",
"69","jcode",
"69","citOthers",
"69","cites","3"
"69","myres","x"
"70","serial","70"
"70","doctype","Paper"
"70","year","2012"
"70","area",
"70","title","A reference model for learning analytics"
"70","citaIEEE","Chatti, M.A.; Dyckhoff, A.L.; Schroeder, U.; Thüs, H. (2012): A reference model for learning analytics. In: International Journal of Technology Enhanced Learning (IJTEL), 4(5/6), 2012, pp. 318-331."
"70","link2",
"70","link1","http://www.thues.com/upload/pdf/2012/CDST12_IJTEL.pdf"
"70","rating",
"70","jcode",
"70","citOthers",
"70","cites","NULL"
"70","myres","x"
